planet_name,orbital_period,planet_radius,planet_mass,star_temperature,star_radius,distance
HD 28471 c,6.1245,2.26,5.72,5766,1.08,43.6455
HD 28471 d,11.681,2.06,4.91,5766,1.08,43.6455
HD 285507 b,6.0881,13.8,311.4734,4503,0.69,45.0293
HD 285968 b,8.7836,2.83,8.4,3703.49,0.478214,9.47045
HD 28678 b,380.2,13.5,490.09386,4972,6.48,189.908
HD 29021 b,1365,12.9,1420.692979,5560,0.85,30.9939
HD 290327 b,2443,13.3,772.3269,5505,0.95,56.433
HD 29399 b,892.7,13.5,498.990599,4845,4.5,44.1518
HD 2952 b,312.08,13.9,284.7742527,4853,10.9,110.103
HD 29985 b,20608.14049,12.8,1739.474872,4678,0.574666,31.2707
HD 30177 b,2514.53422,12.6,2670.712104,5580,1.019,55.5867
HD 30177 c,12085.45186,12.7,1954.644703,5580,1.019,55.5867
HD 30562 b,1157,13.6,467.2077583,5882,1.61,26.1597
HD 30669 b,1684,14.3,149.37,5400,0.91,58.0844
HD 30856 b,847,13.5,491.68301,4895,4.4,131.199
HD 31253 b,466,14.1,197.0546,6130,1.75,58.1438
HD 31527 b,16.5535,3.22,10.47,5898,1.073694,38.4473
HD 31527 c,51.2053,3.85,14.16,5898,1.073694,38.4473
HD 31527 d,271.6737,3.46,11.82,5898,1.073694,38.4473
HD 3167 b,0.959641,1.67,4.97,5261,0.88,47.2899
HD 3167 c,29.8454,3,11.13,5261,0.88,47.2899
HD 3167 d,8.4112,1.92,4.33,5261,0.88,47.2899
HD 3167 e,96.63,2.83,8.41,5261,0.88,47.2899
HD 32518 b,157.35,13.2,905.4931315,4580,10.22,122.115
HD 32963 b,2372,13.4,657.9048025,5727,1.111044,38.0786
HD 330075 b,3.38773,14.3,152.5584,5000,0.84,45.2989
HD 331093 b,621.62,13.6,476.7426105,5544,1.1112,50.1928
HD 33142 b,330,13.7,400.4637928,5025.4,4.17,121.375
HD 33142 c,810.2,13.9,282.8672822,5025.4,4.17,121.375
HD 33142 d,89.9,9.32,63.5656814,5025.4,4.17,121.375
HD 332231 b,18.712024,9.07303305,74.1,6128,1.266,80.6665
HD 33283 b,18.1991,12.5,104.56607,5935,1.97,89.8623
HD 33564 b,388,12.5,2892.1,6250,1.4367,20.9531
HD 33844 b,551.40002,13.4,638.8383,4861,5.39,105.779
HD 33844 c,916,13.5,556.2025,4861,5.29,105.779
HD 34445 b,1049,13.9,260.6206,5879,1.38,46.0907
HD 34445 c,214.67,8.42,53.5,5836,1.38,46.0907
HD 34445 d,117.87,6.07,30.7,5836,1.38,46.0907
HD 34445 e,49.175,4.26,16.8,5836,1.38,46.0907
HD 34445 f,676.8,6.88,37.9,5836,1.38,46.0907
HD 34445 g,5700,13.6,120.6,5836,1.38,46.0907
HD 35759 b,82.467,13,1195.0408,6060,1.759974,71.2423
HD 35843 b,9.8991,2.29,5.84,5666,0.897,69.6026
HD 35843 c,46.9622,2.54,11.32,5666,0.897,69.6026
HD 360 b,273.1,14,238.3713053,4770,10.86,111.542
HD 36384 b,490,12.7,2097.667486,3940,38.4,209.309
HD 3651 b,62.25,10.1,72.46524,5221,0.871954,11.1336
HD 37124 b,154.378,14,214.53525,5698.64,0.949168,31.6634
HD 37124 c,885.5,14.1,207.22516,5698.64,0.949168,31.6634
HD 37124 d,1862,14,221.20968,5698.64,0.949168,31.6634
HD 37605 b,55.01292,13.2,854.9627,5329,0.91,46.7864
HD 37605 c,2720,13.1,1013.8777,5329,0.91,46.7864
HD 3765 b,1211,8.56,54.98431441,5049.8,0.83061,17.926
HD 38283 b,363.20001,14,127.132,5981,1.49,38.0615
HD 38529 b,14.3099,14.1,206.5884646,5697,2.857838,42.3538
HD 38529 c,2127.60566,12.5,3299.058865,5697,2.857838,42.3538
HD 38801 b,685.25,12.5,3082.31534,5338,2.029,91.4349
HD 39091 b,2088.8,12.3,4481.380539,5998,1.17,18.2702
HD 39194 b,5.63692,1.99,4.62,5205,0.783742,26.4131
HD 39194 c,14.0309,2.65,7.49,5205,0.783742,26.4131
HD 39194 d,33.874,2.12,5.16,5205,0.783742,26.4131
HD 39855 b,3.2498,2.85,8.5,5576,0.744665,23.2599
HD 40307 b,4.3123,,1188.996071,4956,0.716684,12.9363
HD 40307 c,9.6184,,1868.513205,4956,0.716684,12.9363
HD 40307 d,20.432,,1775.389482,4956,0.716684,12.9363
HD 40307 f,51.76,2.13,5.2,4956,0.716684,12.9363
HD 40307 g,197.8,2.56,7.1,4956,0.716684,12.9363
HD 40956 b,578.6,13.2,858.141,4869,8.56,116.593
HD 40979 b,264.14999,12.9,1484.2661,6165,1.21,34.0883
HD 41004 A b,963,13.2,807.25,5310,0.85,36.69117
HD 41004 B b,1.3283,12.1,5838.29,5036,1.04137,41.5504
HD 4113 b,526.5239,13.5,541.2617771,5688,1.077514,41.8727
HD 42012 b,857.5,13.5,508.528,5405,0.82,36.7984
HD 4203 b,431.88,13.3,708.7609,5596,1.42,81.3795
HD 4203 c,6700,13.3,689.66,5582,1.49795,81.3795
HD 4208 b,832.97,13.9,257.4423,5717,0.846,34.1937
HD 42618 b,149.61,3.89,14.4,5727,0.999,24.3358
HD 4308 b,15.56,4.12,15.8915,5686,1.02,22.0158
HD 4313 b,356.21,13.4,612.45841,4943,5.14,136.308
HD 43197 b,308.92072,14.2,175.7591091,5508,1,62.4112
HD 43197 c,9295.9735,12.6,2500.673906,5508,1,62.4112
HD 43691 b,36.9987,13.2,810.4665,6093,1.6,85.6009
HD 44219 b,472,14.1,184.3404761,5752,1.32,52.9051
HD 45184 b,5.8854,3.52,12.19,5869,1.075139,21.9532
HD 45184 c,13.1354,2.91,8.81,5869,1.075139,21.9532
HD 45350 b,963.6,13.5,568.89,5566,1.26442,46.8733
HD 45364 b,225.79,9.03,60.16491745,5466,0.89,34.354
HD 45364 c,345.43,14.2,174.4877954,5466,0.89,34.354
HD 45652 b,44.073,14.3,137.62039,5294,0.94,34.8541
HD 457 b,20324.58153,11.9,8445.336431,6114.04,1.28194,55.0375
HD 46375 b,3.023573,10,71.8,5285,0.914196,29.5529
HD 47186 b,4.0845,5.02,22.2481,5657,1.08,37.4574
HD 47186 c,1353.6,13,111.42,5657,1.08,37.4574
HD 4732 b,371.74,13.4,631.2072163,4898,5.03,54.7841
HD 4732 c,3184.2,13.1,1069.49259,4898,5.03,54.7841
HD 47366 b,360.08,13.4,661.7187434,4866,7.3,84.3552
HD 47366 c,677.53,13.5,483.7348355,4866,7.3,84.3552
HD 47536 b,712.13,12.6,2330,4380,23.47,122.536
HD 4760 b,434,12.3,4417.837,4076,42.4,537.873
HD 48265 b,778.51,12.6,2351.930212,5733,1.901,90.5446
HD 48265 c,10418,12.9,1414.336411,5805,2.05,90.5446
HD 48948 b,7.34013,2.06,4.88,4593,0.679,16.9043
HD 48948 c,38.06,2.6,7.27,4593,0.679,16.9043
HD 48948 d,151.92,3.24,10.59,4593,0.679,16.9043
HD 4917 b,400.5,13.5,513.29545,4802,5.01,204.277
HD 49674 b,4.94737,6.2,31.783,5602,1.02,43.0399
HD 50499 b,2447.1,13.5,519.96988,6102,1.351,46.2845
HD 50499 c,8619.9,13.2,931.2419,6099,1.42,46.2845
HD 50554 b,1293,12.8,1859.296181,5987,1.02,31.1664
HD 51608 b,14.0726,3.62,12.77,5358,0.916136,35.0553
HD 51608 c,95.9446,3.87,14.31,5358,0.916136,35.0553
HD 52265 b,119.27,13.7,384.5743,6136,1.32,29.9803
HD 5278 b,14.339156,2.45,7.8,6203,1.194,57.5846
HD 5278 c,40.87,4.49,18.4,6203,1.194,57.5846
HD 5319 b,637.1,13.5,494.54348,4871,4.06,121.405
HD 5319 c,872.2,13.8,334.67499,4871,4.06,121.405
HD 55696 b,1827,12.9,1357.127298,6012,1.52,77.9693
HD 5583 b,139.35,12.8,1837.0574,4830,9.09,219.216
HD 5608 b,768.7,13.7,371.2235794,4807,5.43,58.1105
HD 564 b,492.3,12.5,104.88,5902,1.01,51.1659
HD 56414 b,29.04992,3.71,13.3,8500,1.751,272.217
HD 56957 b,5859.08992,12.8,1880.908513,5743,1.77793,61.4925
HD 5891 b,177.11,12.6,2425.0429,4673,10.64,283.502
HD 59686 A b,299.36,12.7,2199.3836,4658,13.2,89.2721
HD 60292 b,495.4,12.7,2065.895,4348,27,315.211
HD 60532 b,201.9,13.8,336.8998,6245,2.57,25.9716
HD 60532 c,600.1,13.3,797.7533,6245,2.57,25.9716
HD 6061 b,5.2549,2.42763557,10,5934,1.0072,67.6203
HD 62364 b,5138,12.1,5965.639199,6255,1.401,53.112
HD 62364 c,74839.94555,12,7923.462187,6255,1.401,53.112
HD 62509 b,589.64,13.3,731,4892.63,8.9,10.34
HD 62549 b,14306.88519,12.6,2707.580199,5930.46,1.23227,49.3305
HD 63433 b,7.1079475,2.14,21.755,5553,0.934,22.4035
HD 63433 c,20.5438281,2.692,15.539,5553,0.934,22.4035
HD 63433 d,4.209075,1.073,1.25,5688,0.912,22.4035
HD 63454 b,2.81805,12.31,79.4575,4812,0.77,37.6894
HD 63765 b,358,14.2,168.4499,5449,0.83,32.5376
HD 63935 b,9.058807,2.91575244,10.5,5513,0.9598,48.9739
HD 63935 c,21.4027,3.06451296,11.1,5513,0.9598,48.9739
HD 64114 b,45.791,4.41,17.8,5676,0.882858,31.5262
HD 64121 b,623,13.2,813.6407219,5078,5.44,129.966
HD 6434 b,21.998,14.2,155.7367,5769,1.12,42.358
HD 65216 b,577.6,13.6,411.58985,5612,0.88,35.1205
HD 65216 c,5370,13.4,645.1949,5612,0.88,35.1205
HD 66141 b,480.5,12.8,1906.9,4323,21.4,68.1509
HD 66428 b,2269.81726,12.4,3478.949743,5716,1.13,53.2817
HD 66428 c,10478.84437,13.5,560.64931,5716,1.13,53.2817
HD 67087 b,352.2,13.1,973,6330,1.55,76.5217
HD 67087 c,2374,12.9,1540,6330,1.55,76.5217
